,time,value
0,0,-0.7913102073795122
1,1,0.0022406092758082696
2,2,-1.8030540861073587
3,3,-3.6349004189793592
4,4,-4.546029372848423
5,5,-5.989401926722547
6,6,-5.80198991802107
7,7,-5.628000328928958
8,8,-4.6455656950647795
9,9,-4.761235791807848
10,10,-3.8283281450008912
11,11,-6.3781268833363365
12,12,-7.332813915602786
13,13,-7.425584958055824
14,14,-6.962117001502611
15,15,-7.207906044326288
16,16,-5.165915309745258
17,17,-3.628374389489336
18,18,-3.7717373654806083
19,19,-4.383441166672957
20,20,-4.250444403188608
21,21,-4.844359446079998
22,22,-4.017412980108825
23,23,-4.1855831590843815
24,24,-2.0098271473441476
25,25,-1.4770890587274201
26,26,-2.3607517845335404
27,27,-0.49850685686045537
28,28,-1.5017740367159933
29,29,-0.9072908841946794
30,30,-1.5275112595688394
31,31,-2.733717627937395
32,32,-3.5385358242030622
33,33,-3.764404708235758
34,34,-2.6896960662938256
35,35,-3.4840825992233544
36,36,-4.706316388777938
37,37,-5.981018503608337
38,38,-5.48168405017125
39,39,-3.875511486705816
40,40,-3.680593717970882
41,41,-4.261371481425524
42,42,-4.285364636578519
43,43,-5.758873633660212
44,44,-5.46020303568208
45,45,-5.4198444859369035
46,46,-4.162807135846424
47,47,-6.117057855032191
48,48,-6.606346257437986
49,49,-4.886681817648479
50,50,-6.297898099653871
51,51,-6.756783664497207
52,52,-6.960355581485728
53,53,-7.155875496749191
54,54,-8.01010347175637
55,55,-9.35651456317375
56,56,-9.813923844430715
57,57,-9.484509961854636
58,58,-8.694538851893263
59,59,-7.937330876375432
60,60,-7.946479568853267
61,61,-7.781608643831281
62,62,-6.782808546769223
63,63,-6.2646862549322
64,64,-8.074336082713351
65,65,-6.231181109687616
66,66,-4.882199946917431
67,67,-5.278044467842758
68,68,-4.720106120359703
69,69,-3.773378269942509
70,70,-3.652521586479362
71,71,-4.641638153571802
72,72,-4.36233911326864
73,73,-4.282780628266275
74,74,-3.5559799191337054
75,75,-4.066344639997333
76,76,-3.4377869268432426
77,77,-2.0585526754718537
78,78,-1.660288203803057
79,79,-0.10132171489411546
80,80,-0.5178261128811082
81,81,-0.08164018239785553
82,82,-0.2247275746511673
83,83,1.347696107527196
84,84,0.2521161801282381
85,85,0.351319771543566
86,86,1.5649996753098936
87,87,3.791810453733662
88,88,4.265539034179695
89,89,2.9460109154495884
90,90,2.351059285543239
91,91,1.3693970598143148
92,92,-0.031112470294624828
93,93,-0.971453027842177
94,94,-0.12057085688808311
95,95,0.06282574655411177
96,96,1.2828363622063574
97,97,0.7573292900779078
98,98,1.1644696099225569
99,99,1.059387476741649
100,100,1.7390921416796918
101,101,1.6786703677338803
102,102,2.5017343281166062
103,103,2.1009741489647307
104,104,2.2961434989057206
105,105,2.1340473681291585
106,106,1.2571777932481925
107,107,2.1895272812758284
108,108,1.1338101665520126
109,109,2.5581975895784845
110,110,0.998720489087962
111,111,0.09747808548511316
112,112,-0.2311892234478627
113,113,0.052847576044098565
114,114,-0.7456085605444276
115,115,-2.0849547047590393
116,116,-0.08641928491459461
117,117,-1.262750595787286
118,118,-1.655125431128464
119,119,-1.472592730092441
120,120,-2.54342717832046
121,121,-3.6285439877878085
122,122,-3.863636885644415
123,123,-2.5788324553773236
124,124,-2.0074674633645557
125,125,-1.4103310584605508
126,126,-0.7280341519760174
127,127,-1.2473747264946702
128,128,-0.4988931122168233
129,129,1.336905057444485
130,130,0.40644861441893787
131,131,0.49782697258901015
132,132,1.878612581921428
133,133,3.3145064574758156
134,134,3.7213370998703716
135,135,4.816530137603092
136,136,5.075808199491655
137,137,4.541885596501317
138,138,4.339292180519441
139,139,2.7297817754307445
140,140,2.0941127355792784
141,141,2.46992743123807
142,142,2.8004253401291788
143,143,2.2214908135390266
144,144,1.2556044326071405
145,145,2.239494792207815
146,146,1.8850421330812526
147,147,2.0608168470483808
148,148,3.097636795378076
149,149,3.9783806577879073
150,150,4.095827701648277
151,151,3.333730563713627
152,152,4.5927993130724145
153,153,2.9774958722518456
154,154,2.9737169176219216
155,155,2.856509794073385
156,156,2.5765483021971827
157,157,2.244089149649257
158,158,2.717397088545112
159,159,1.7448698600773536
160,160,1.865043400408533
161,161,1.8371150459118417
162,162,1.1130927031349942
163,163,2.34829191874746
164,164,1.7394601112247485
165,165,3.1810392559114558
166,166,2.7690492619415075
167,167,3.95810642202377
168,168,3.814592529120936
169,169,3.522824770482523
170,170,3.730848011590834
171,171,5.990525430791114
172,172,5.9979779335516525
173,173,5.540195616375171
174,174,5.664643683439027
175,175,5.78352378329514
176,176,5.341947039717359
177,177,3.5531672805488874
178,178,3.0790678285845536
179,179,2.3257165162828293
180,180,1.8673130705284673
181,181,2.3897094351789008
182,182,2.925500152933766
183,183,2.231761249361765
184,184,1.9491883787907742
185,185,0.6024811071456206
186,186,1.724252126342686
187,187,0.6671575259592735
188,188,0.008845900795910189
189,189,0.2758252699631963
190,190,-0.21273986505545195
191,191,-0.1402087938359862
192,192,-1.1656077682227122
193,193,-1.5044948812218817
194,194,-1.25541443919872
195,195,-1.029838127972527
196,196,-2.0199296751025377
