,subject,timepoint,event,region,signal
0,s13,18,stim,parietal,-0.017551581538
1,s5,14,stim,parietal,-0.0808829319505
2,s12,18,stim,parietal,-0.0810330187333
3,s11,18,stim,parietal,-0.04613439017519999
4,s10,18,stim,parietal,-0.037970203264199996
5,s9,18,stim,parietal,-0.10351309616
6,s8,18,stim,parietal,-0.0644081947232
7,s7,18,stim,parietal,-0.0605262017124
8,s6,18,stim,parietal,-0.00702856091007
9,s5,18,stim,parietal,-0.0405568546157
10,s4,18,stim,parietal,-0.04881219994659999
11,s3,18,stim,parietal,-0.0471481458275
12,s2,18,stim,parietal,-0.08662295949179999
13,s1,18,stim,parietal,-0.046659046163800004
14,s0,18,stim,parietal,-0.0755699759477
15,s13,17,stim,parietal,-0.00826462526111
16,s12,17,stim,parietal,-0.08851175012250001
17,s7,9,stim,parietal,0.058896545296999996
18,s10,17,stim,parietal,-0.016846516627
19,s9,17,stim,parietal,-0.12157375579000004
20,s8,17,stim,parietal,-0.0762871207962
21,s7,17,stim,parietal,-0.043812021381900004
22,s6,17,stim,parietal,-0.014746389298100003
23,s5,17,stim,parietal,-0.0566820608044
24,s4,17,stim,parietal,-0.044581900875900006
25,s3,17,stim,parietal,-0.0535140677471
26,s2,17,stim,parietal,-0.07729240018860001
27,s1,17,stim,parietal,-0.0380205789406
28,s0,17,stim,parietal,-0.07130038539780001
29,s13,16,stim,parietal,-0.00285629387119
30,s12,16,stim,parietal,-0.08994336333610001
31,s11,16,stim,parietal,-0.04958703583380001
32,s10,16,stim,parietal,-0.013566317631600001
33,s9,16,stim,parietal,-0.131640690822
34,s8,16,stim,parietal,-0.0930243109477
35,s7,16,stim,parietal,-0.021897157826900004
36,s8,9,stim,parietal,0.170226886344
37,s5,16,stim,parietal,-0.0641378420404
38,s4,16,stim,parietal,-0.047433168385500005
39,s3,16,stim,parietal,-0.0710224022162
40,s2,16,stim,parietal,-0.06499816929169999
41,s1,16,stim,parietal,-0.0613560305246
42,s0,16,stim,parietal,-0.057715066878199994
43,s13,15,stim,parietal,-0.0109714632203
44,s12,15,stim,parietal,-0.08069796317139999
45,s11,15,stim,parietal,-0.07211219404710001
46,s10,15,stim,parietal,-0.028809304808099997
47,s9,15,stim,parietal,-0.134828403383
48,s8,15,stim,parietal,-0.112577596942
49,s7,15,stim,parietal,-0.00938312919114
50,s6,15,stim,parietal,-0.06872022524669999
51,s5,15,stim,parietal,-0.0705615378511
52,s4,15,stim,parietal,-0.0560310534918
53,s3,15,stim,parietal,-0.09073518152820001
54,s2,15,stim,parietal,-0.0554618569331
55,s1,15,stim,parietal,-0.110742321796
56,s0,15,stim,parietal,-0.053078664772300006
57,s13,14,stim,parietal,-0.0337133890149
58,s12,14,stim,parietal,-0.0682973367158
59,s11,14,stim,parietal,-0.11446883040400001
60,s10,14,stim,parietal,-0.0522877238724
61,s9,14,stim,parietal,-0.1302665983
62,s8,14,stim,parietal,-0.128447530062
63,s7,14,stim,parietal,-0.0151398384821
64,s6,14,stim,parietal,-0.09884463355350001
65,s11,17,stim,parietal,-0.041960488856
66,s4,14,stim,parietal,-0.0639904071723
67,s0,0,stim,frontal,-0.0214524594615
68,s3,14,stim,parietal,-0.110040787828
69,s1,14,stim,parietal,-0.169311681158
70,s0,14,stim,parietal,-0.052418751534199996
71,s13,13,stim,parietal,-0.0686374735514
72,s12,13,stim,parietal,-0.056306337975
73,s11,13,stim,parietal,-0.157834186994
74,s10,13,stim,parietal,-0.0738923487842
75,s9,13,stim,parietal,-0.119383455482
76,s8,13,stim,parietal,-0.1239496932
77,s7,13,stim,parietal,-0.030026322192
78,s6,13,stim,parietal,-0.133170667646
79,s5,13,stim,parietal,-0.0949707046582
80,s4,13,stim,parietal,-0.0747598671492
81,s3,13,stim,parietal,-0.1165517168
82,s2,13,stim,parietal,-0.052655737335700004
83,s1,13,stim,parietal,-0.224351323052
84,s1,0,stim,parietal,-0.064454004861
